SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DSE892 Gen 1,010.128.000.107,"2,021,070,210,043,500.00","2,021,070,215,512,100.00",Mains - Voltage L1-L2,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,310,095,500.00","2,021,070,310,153,000.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,301,231,400.00","2,021,070,301,284,800.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,301,231,400.00","2,021,070,301,284,800.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,301,231,400.00","2,021,070,301,284,800.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,301,231,400.00","2,021,070,301,284,800.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,301,231,400.00","2,021,070,301,284,800.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,308,354,100.00","2,021,070,308,411,300.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,308,354,100.00","2,021,070,308,411,300.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,308,354,100.00","2,021,070,308,411,300.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,308,354,100.00","2,021,070,308,411,300.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,308,354,100.00","2,021,070,308,411,300.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,609,101,400.00","2,021,070,609,154,700.00",MER Value,0
