SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,294,900.00",Phalaphala Pilot Status,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,210,051,400.00","2,021,070,217,293,600.00",Power Left Audio Status,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,815,121,300.00","2,021,070,815,174,600.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,815,121,300.00","2,021,070,815,174,600.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,815,121,300.00","2,021,070,815,174,600.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,815,121,300.00","2,021,070,815,174,600.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,815,121,300.00","2,021,070,815,174,600.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,111,024,500.00","2,021,070,111,081,400.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,111,024,500.00","2,021,070,111,081,400.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,111,024,500.00","2,021,070,111,081,400.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,111,024,500.00","2,021,070,111,081,400.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,111,024,500.00","2,021,070,111,081,400.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,114,052,800.00","2,021,070,114,110,100.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,114,052,800.00","2,021,070,114,110,100.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,114,052,800.00","2,021,070,114,110,100.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,114,052,800.00","2,021,070,114,110,100.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,114,052,800.00","2,021,070,114,110,100.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,410,335,300.00","2,021,070,410,392,100.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,410,335,300.00","2,021,070,410,392,100.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,410,335,300.00","2,021,070,410,392,100.00",MER Value,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,310,054,800.00","2,021,070,313,155,300.00",RF Presence Status,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,314,300.00","2,021,070,313,453,100.00",RF Presence Status,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,313,900.00","2,021,070,313,314,600.00",Asi 1 - TS Synchronization,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,313,900.00","2,021,070,313,314,300.00",Input - Continuity counter,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,313,414,900.00","2,021,070,313,450,500.00",Asi 1 - TS Synchronization,2
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - EXC A Mux1 CH 21,010.128.040.064,"2,021,070,614,243,100.00","2,021,070,614,315,700.00",RF Presence Status,2
