National Site ;;;;
Operation Centre;Region;Provence;Type TX;Site Name
;Northern Region;Free State;High Power;BOESMANSKOP
;Northern Region;Free State;Gap Filler;DEWETSDORP
;Northern Region;Free State;Gap Filler;FICKSBURG TOWN
;Northern Region;Free State;High Power;HARRISMITH
;Northern Region;Free State;High Power;KIMBERLEY
;Northern Region;Free State;High Power;KIMBERLEY
;Northern Region;Free State;High Power;KROONSTAD
;Northern Region;Free State;High Power;KROONSTAD
;Northern Region;Free State;High Power;LADYBRAND
;Northern Region;Free State;High Power;LADYBRAND
;Northern Region;Free State;High Power;PETRUS STEYN
;Northern Region;Free State;High Power;PETRUS STEYN
;Northern Region;Free State;High Power;SENEKAL
;Northern Region;Free State;High Power;SENEKAL
;Northern Region;Free State;High Power;SPRINGFONTEIN
;Northern Region;Free State;Gap Filler;SUIDRAND
;Northern Region;Free State;Gap Filler;SUIDRAND
;Northern Region;Free State;High Power;THEUNISSEN
;Northern Region;Free State;High Power;THEUNISSEN
;Northern Region;Free State;High Power;WITSIESHOEK
;Northern Region;Free State;High Power;WITSIESHOEK
;;;;
Ermelo;Northern Region;Mpumalanga;High Power;CAROLINA
;Northern Region;Mpumalanga;High Power;DAVEL
;Northern Region;Mpumalanga;High Power;DAVEL
;Northern Region;Mpumalanga;High Power;MIDDELBURG
;Northern Region;Mpumalanga;High Power;MIDDELBURG
;Northern Region;Mpumalanga;High Power;PIET RETIEF
;Northern Region;Mpumalanga;High Power;PIET RETIEF
;Northern Region;Mpumalanga;High Power;VOLKSRUST
;Northern Region;Mpumalanga;High Power;VOLKSRUST
;;;;
Johannesburg;Northern Region;Gauteng;Gap Filler;HEIDELBERG
;Northern Region;Gauteng;Gap Filler;HEIDELBERG
;Northern Region;Gauteng;High Power;HELDERKRUIN
;Northern Region;Gauteng;High Power;HELDERKRUIN
;Northern Region;Gauteng;High Power;JOHANNESBURG
;Northern Region;Gauteng;High Power;JOHANNESBURG
;Northern Region;North West;High Power;KLERKSDORP
;Northern Region;North West;High Power;KLERKSDORP
;Northern Region;Gauteng;Gap Filler;LINMEYER
;Northern Region;Gauteng;Gap Filler;LINMEYER
;Northern Region;Gauteng;Gap Filler;MENLO PARK
;Northern Region;Gauteng;Gap Filler;MENLO PARK
;Northern Region;Gauteng;Gap Filler;MONDEOR
;Northern Region;Gauteng;Gap Filler;MONDEOR
;Northern Region;Gauteng;Gap Filler;MULBARTON
;Northern Region;Gauteng;Gap Filler;MULBARTON
;Northern Region;Gauteng;High Power;PRETORIA
;Northern Region;Gauteng;High Power;PRETORIA
;Northern Region;Gauteng;Gap Filler;PRETORIA NORTH
;Northern Region;Gauteng;Gap Filler;PRETORIA NORTH
;Northern Region;North West;High Power;RUSTENBURG
;Northern Region;North West;High Power;RUSTENBURG
;Northern Region;Gauteng;Gap Filler;SUNNYSIDE
;Northern Region;Gauteng;Gap Filler;SUNNYSIDE
;Northern Region;Gauteng;High Power;WELVERDIEND
;Northern Region;Gauteng;High Power;WELVERDIEND
;;;;
Nelspruit;Northern Region;Mpumalanga;Gap Filler;LYDENBURG
